"CODE","NAME_KZ","NAME_RU"
"11180101","түпкілікті тұтынуға шығыстардың нақты көлем индексі","индекс физического объема расходов на конечное потребление"
"111801011","үй шаруашылықтарының түпкілікті тұтынуға жұмсаған шығыстарының нақты көлем индексі","индекс физического объема расходов на конечное потребление домашних хозяйств"
"111801012","мемлекеттік басқару органдарының түпкілікті тұтынуға жұмсаған шығыстарының нақты көлем индексі","индекс физического объема расходов на конечное потребление органов государственного управления"
"1118010121","жеке тауарлар мен қызметтерге жұмсалған шығыстардың нақты көлем индексі","индекс физического объема расходов на индивидуальные товары и услуги"
"1118010122","ұжымдық қызметтерге жұмсалған шығыстардың нақты көлем индексі","индекс физического объема расходов на коллективные услуги"
"11180102","үй шаруашылықтарына қызмет көрсететін коммерциялық емес ұйымдардың түпкілікті тұтынуға жұмсаған шығыстарының нақты көлем индексі","индекс физического объема расходов на конечное потребление некоммерческих организаций, обслуживающих домашние хозяйства"
"111802","Жалпы қорланымның нақты көлем индексі","Индекс физического объема валового накопления"
"11180201","негізгі капиталдың жалпы қорланымының нақты көлем индексі","индекс физического объема валового накопления основного капитала"
"111803","Тауарлар мен қызметтер импортының нақты көлем индексі","Индекс физического объема импорта товаров и услуг"
"111804","Тауарлар мен қызметтер экспортының нақты көлем индексі","Индекс физического объема экспорта товаров и услуг"
"111901","Түпкілікті тұтыну әдісімен жалпы ішкі өнімнің дефляторы","Дефлятор валового внутреннего продукта методом конечного использования"
"11190101","түпкілікті тұтынуға жұмсалған шығыстар дефляторы","дефлятор расходов на конечное потребление"
"111901011","үй шаруашылықтарының түпкілікті тұтынуға жұмсаған  шығыстарының дефляторы","дефлятор расходов на конечное потребление домашних хозяйств"
"111901012","мемлекеттік басқару органдарының түпкілікті тұтынуға жұмсаған шығыстарының дефляторы","дефлятор расходов на конечное потребление органов государственного управления"
"1119010121","жеке тауарлар мен қызметтерге жұмсалған шығыстар дефляторы","дефлятор расходов на индивидуальные товары и услуги"
"1119010122","ұжымдық қызметтерге жұмсалған шығыстар дефляторы","дефлятор расходов на коллективные услуги"
"11190102","үй шаруашылықтарына қызмет көрсететін коммерциялық емес ұйымдардың түпкілікті тұтынуға жұмсаған шығыстарының дефляторы","дефлятор расходов на конечное потребление некоммерческих организаций, обслуживающих домашние хозяйства"
"111902","Жалпы қорланымның дефляторы","Дефлятор валового накопления"
"11190201","негізгі капиталдың жалпы қорланымының дефляторы","дефлятор валового накопление основного капитала"
"11190202","материалдық айналым құралдары қорларының өзгеруінің дефляторы","дефлятор изменения запасов материальных оборотных средств"
"111903","Тауарлар мен қызметтер импортының дефляторы","Дефлятор импорта товаров и услуг"
"111904","Тауарлар мен қызметтер экспортының дефляторы","Дефлятор экспорта товаров и услуг"
"112101","Экономика секторлары бойынша негізгі капиталдың жалпы жинақталуы","Валовое накопление основного капитала по секторам экономики"
"112102","Экономика секторлары бойынша материалды айналым құралдары запастарының өзгеруі","Изменение запасов материальных оборотных средств по секторам экономики"
"112103","Алуға жататын капиталдық трансферттер","Капитальные трансферты, подлежащие получению"
"112104","Төленуге жататын капиталдық трансферттер","Капитальные трансферты, подлежащие выплате"
"112105","Таза кредиттеу (+) / таза қарыз алу (-)","Чистое кредитование (+) / чистое заимствование (-)"
"112201","Қаржы шотының таза кредиттеу  (+) / таза қарыз алуы (-)","Чистое кредитование (+) / чистое заимствование (-) финансового счета"
"112209","Міндеттемелерді таза қабылдау","Чистое принятие обязательств"
